base_addr=0x00002000 byte_count=924
idx addr byte ascii
455 0x000021c7 00 .
456 0x000021c8 0a .
457 0x000021c9 04 .
458 0x000021ca 42 B
459 0x000021cb a1 .
460 0x000021cc 07 .
461 0x000021cd 00 .
462 0x000021ce 1d .
463 0x000021cf 39 9
464 0x000021d0 01 .
465 0x000021d1 00 .
466 0x000021d2 00 .
467 0x000021d3 00 .
468 0x000021d4 06 .
469 0x000021d5 05 .
470 0x000021d6 03 .
471 0x000021d7 03 .
472 0x000021d8 03 .
473 0x000021d9 00 .
474 0x000021da 06 .
475 0x000021db 00 .
476 0x000021dc 16 .
477 0x000021dd 04 .
478 0x000021de 4e N
479 0x000021df a1 .
480 0x000021e0 07 .
481 0x000021e1 00 .
482 0x000021e2 7b {
483 0x000021e3 36 6
484 0x000021e4 05 .
485 0x000021e5 00 .
486 0x000021e6 00 .
487 0x000021e7 00 .
488 0x000021e8 04 .
489 0x000021e9 06 .
490 0x000021ea 06 .
491 0x000021eb 04 .
492 0x000021ec 05 .
493 0x000021ed 00 .
494 0x000021ee 08 .
495 0x000021ef 00 .
496 0x000021f0 00 .
497 0x000021f1 00 .
498 0x000021f2 00 .
499 0x000021f3 00 .
500 0x000021f4 00 .
501 0x000021f5 00 .
502 0x000021f6 71 q
503 0x000021f7 bf .
504 0x000021f8 05 .
505 0x000021f9 00 .
506 0x000021fa 00 .
507 0x000021fb 00 .
508 0x000021fc 02 .
509 0x000021fd 02 .
510 0x000021fe 08 .
511 0x000021ff 04 .
512 0x00002200 0b .
513 0x00002201 00 .
514 0x00002202 08 .
515 0x00002203 00 .
516 0x00002204 00 .
517 0x00002205 00 .
518 0x00002206 00 .
519 0x00002207 00 .
520 0x00002208 00 .
521 0x00002209 00 .
522 0x0000220a 2a *
523 0x0000220b fa .
524 0x0000220c 01 .
525 0x0000220d 00 .
526 0x0000220e 00 .
527 0x0000220f 00 .
528 0x00002210 01 .
529 0x00002211 06 .
530 0x00002212 07 .
531 0x00002213 04 .
532 0x00002214 05 .
533 0x00002215 00 .
534 0x00002216 08 .
535 0x00002217 00 .
536 0x00002218 00 .
537 0x00002219 00 .
538 0x0000221a 00 .
539 0x0000221b 00 .
540 0x0000221c 00 .
541 0x0000221d 00 .
542 0x0000221e a8 .
543 0x0000221f 1d .
544 0x00002220 01 .
545 0x00002221 00 .
546 0x00002222 00 .
547 0x00002223 00 .
548 0x00002224 03 .
549 0x00002225 01 .
550 0x00002226 05 .
551 0x00002227 04 .
552 0x00002228 06 .
553 0x00002229 00 .
554 0x0000222a 08 .
555 0x0000222b 00 .
556 0x0000222c 00 .
557 0x0000222d 00 .
558 0x0000222e 00 .
559 0x0000222f 00 .
560 0x00002230 00 .
561 0x00002231 00 .
562 0x00002232 d3 .
563 0x00002233 f8 .
564 0x00002234 05 .
565 0x00002235 00 .
566 0x00002236 00 .
567 0x00002237 00 .
568 0x00002238 01 .
569 0x00002239 04 .
570 0x0000223a 03 .
571 0x0000223b 03 .
572 0x0000223c 04 .
573 0x0000223d 01 .
574 0x0000223e 06 .
575 0x0000223f 00 .
576 0x00002240 f0 .
577 0x00002241 03 .
578 0x00002242 28 (
579 0x00002243 a1 .
580 0x00002244 07 .
581 0x00002245 00 .
582 0x00002246 8b .
583 0x00002247 54 T
584 0x00002248 01 .
585 0x00002249 00 .
586 0x0000224a 00 .
587 0x0000224b 00 .
588 0x0000224c 03 .
589 0x0000224d 04 .
590 0x0000224e 02 .
591 0x0000224f 02 .
592 0x00002250 02 .
593 0x00002251 00 .
594 0x00002252 06 .
595 0x00002253 00 .
596 0x00002254 f5 .
597 0x00002255 03 .
598 0x00002256 2d -
599 0x00002257 a1 .
600 0x00002258 07 .
601 0x00002259 00 .
602 0x0000225a 48 H
603 0x0000225b cc .
604 0x0000225c 03 .
605 0x0000225d 00 .
606 0x0000225e 00 .
607 0x0000225f 00 .
608 0x00002260 04 .
609 0x00002261 06 .
610 0x00002262 03 .
611 0x00002263 03 .
612 0x00002264 03 .
613 0x00002265 00 .
614 0x00002266 06 .
615 0x00002267 00 .
616 0x00002268 09 .
617 0x00002269 04 .
618 0x0000226a 41 A
619 0x0000226b a1 .
620 0x0000226c 07 .
621 0x0000226d 00 .
622 0x0000226e ed .
623 0x0000226f 7e ~
624 0x00002270 01 .
625 0x00002271 00 .
626 0x00002272 00 .
627 0x00002273 00 .
628 0x00002274 01 .
629 0x00002275 06 .
630 0x00002276 05 .
631 0x00002277 04 .
632 0x00002278 06 .
633 0x00002279 00 .
634 0x0000227a 08 .
635 0x0000227b 00 .
636 0x0000227c 00 .
637 0x0000227d 00 .
638 0x0000227e 00 .
639 0x0000227f 00 .
640 0x00002280 00 .
641 0x00002281 00 .
642 0x00002282 d1 .
643 0x00002283 75 u
644 0x00002284 02 .
645 0x00002285 00 .
646 0x00002286 00 .
647 0x00002287 00 .
648 0x00002288 02 .
649 0x00002289 01 .
650 0x0000228a 05 .
