base_addr=0x00002000 byte_count=1984
idx addr byte ascii
345 0x00002159 19 .
346 0x0000215a 05 .
347 0x0000215b a6 .
348 0x0000215c e9 .
349 0x0000215d 07 .
350 0x0000215e ee .
351 0x0000215f 78 x
352 0x00002160 a5 .
353 0x00002161 07 .
354 0x00002162 ec .
355 0x00002163 44 D
356 0x00002164 10 .
357 0x00002165 51 Q
358 0x00002166 20  
359 0x00002167 20  
360 0x00002168 81 .
361 0x00002169 a6 .
362 0x0000216a d4 .
363 0x0000216b 14 .
364 0x0000216c 1b .
365 0x0000216d 72 r
366 0x0000216e 33 3
367 0x0000216f 78 x
368 0x00002170 70 p
369 0x00002171 48 H
370 0x00002172 ce .
371 0x00002173 68 h
372 0x00002174 80 .
373 0x00002175 fc .
374 0x00002176 e9 .
375 0x00002177 02 .
376 0x00002178 b9 .
377 0x00002179 e9 .
378 0x0000217a 01 .
379 0x0000217b 79 y
380 0x0000217c 82 .
381 0x0000217d 87 .
382 0x0000217e c2 .
383 0x0000217f 78 x
384 0x00002180 00 .
385 0x00002181 09 .
386 0x00002182 31 1
387 0x00002183 65 e
388 0x00002184 a6 .
389 0x00002185 d8 .
390 0x00002186 90 .
391 0x00002187 9b .
392 0x00002188 91 .
393 0x00002189 33 3
394 0x0000218a b2 .
395 0x0000218b 01 .
396 0x0000218c 7d }
397 0x0000218d 59 Y
398 0x0000218e 81 .
399 0x0000218f 78 x
400 0x00002190 fe .
401 0x00002191 ec .
402 0x00002192 80 .
403 0x00002193 0a .
404 0x00002194 1e .
405 0x00002195 0a .
406 0x00002196 03 .
407 0x00002197 24 $
408 0x00002198 c8 .
409 0x00002199 90 .
410 0x0000219a 1a .
411 0x0000219b 72 r
412 0x0000219c 43 C
413 0x0000219d 70 p
414 0x0000219e 48 H
415 0x0000219f 78 x
416 0x000021a0 ce .
417 0x000021a1 68 h
418 0x000021a2 fa .
419 0x000021a3 c0 .
420 0x000021a4 5d ]
421 0x000021a5 ba .
422 0x000021a6 c0 .
423 0x000021a7 4f O
424 0x000021a8 5a Z
425 0x000021a9 40 @
426 0x000021aa 30 0
427 0x000021ab 51 Q
428 0x000021ac 20  
429 0x000021ad 20  
430 0x000021ae 01 .
431 0x000021af 78 x
432 0x000021b0 a6 .
433 0x000021b1 d0 .
434 0x000021b2 94 .
435 0x000021b3 9a .
436 0x000021b4 62 b
437 0x000021b5 53 S
438 0x000021b6 6e n
439 0x000021b7 06 .
440 0x000021b8 0e .
441 0x000021b9 c9 .
442 0x000021ba 19 .
443 0x000021bb 39 9
444 0x000021bc d3 .
445 0x000021bd 00 .
446 0x000021be b9 .
447 0x000021bf 78 x
448 0x000021c0 d3 .
449 0x000021c1 05 .
450 0x000021c2 f2 .
451 0x000021c3 a6 .
452 0x000021c4 1f .
453 0x000021c5 08 .
454 0x000021c6 1e .
455 0x000021c7 0a .
456 0x000021c8 03 .
457 0x000021c9 24 $
458 0x000021ca cc .
459 0x000021cb 14 .
460 0x000021cc 9b .
461 0x000021cd 72 r
462 0x000021ce 33 3
463 0x000021cf 78 x
464 0x000021d0 70 p
465 0x000021d1 48 H
466 0x000021d2 ce .
467 0x000021d3 d0 .
468 0x000021d4 cb .
469 0x000021d5 0a .
470 0x000021d6 f4 .
471 0x000021d7 67 g
472 0x000021d8 07 .
473 0x000021d9 f4 .
